Date,Time,LogType,CurrentStatus,LatchedStatus,GeneralStatus,ProductNumber,BPMSet,TargetWeight,FullBagCount,TotalDumpWeight,IF5_CurrentStatus,IF5_WarningStatus,IF5_HopperLevel,IF5_TotalBase,IF5_TotalDry,IF5_TotalLIS,IF5_Total,IF5_DryPercent,IF5_OilPercent,IF5_LISPercent,IF5_WC_ConversionFactor
18/06/2021,07:30:50,T,650,650,1,1,50,151,2637,398543,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:31:20,T,650,650,1,1,50,151,2656,401564,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:31:51,T,650,650,1,1,50,151,2677,404736,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:32:22,T,650,650,1,1,50,151,2699,408062,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:32:53,T,650,650,1,1,50,151,2725,411990,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:33:23,T,650,650,1,1,50,151,2745,415011,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:33:54,T,650,650,1,1,50,151,2771,418937,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:34:25,T,650,650,1,1,50,151,2796,422713,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:34:56,T,650,650,1,1,50,151,2813,425432,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:35:27,T,650,650,1,1,50,151,2830,427850,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:35:57,T,650,650,1,1,50,151,2850,430871,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:36:28,T,650,650,1,1,50,151,2870,434043,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:36:59,T,650,650,1,1,50,151,2891,437064,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:37:30,T,650,650,1,1,50,151,2910,439783,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:38:01,T,650,650,2,1,50,151,2920,441294,0,0,0,0,0,0,0,0,0,0,0
18/06/2021,07:38:31,T,650,650,1,1,50,151,2934,443560,0,0,0,0,0,0,0,0,0,0,0
